,cs1-2all.mid,cs1-3cou.mid,cs3-1pre.mid,cs3-2all.mid,cs3-3cou.mid,cs3-5bou.mid,cs3-6gig.mid,bwv807b.mid,bwv807c.mid,bwv807e.mid,cs1-2all_transp_12.mid,cs1-3cou_transp_12.mid,cs3-1pre_transp_12.mid,cs3-2all_transp_12.mid,cs3-3cou_transp_12.mid,cs3-5bou_transp_12.mid,cs3-6gig_transp_12.mid,bwv807b_transp_12.mid,bwv807c_transp_12.mid,bwv807e_transp_12.mid,cs1-2all_transp_21.mid,cs1-3cou_transp_21.mid,cs3-1pre_transp_21.mid,cs3-2all_transp_21.mid,cs3-3cou_transp_21.mid,cs3-5bou_transp_21.mid,cs3-6gig_transp_21.mid,bwv807b_transp_21.mid,bwv807c_transp_21.mid,bwv807e_transp_21.mid,cs1-2all_transp_6.mid,cs1-3cou_transp_6.mid,cs3-1pre_transp_6.mid,cs3-2all_transp_6.mid,cs3-3cou_transp_6.mid,cs3-5bou_transp_6.mid,cs3-6gig_transp_6.mid,bwv807b_transp_6.mid,bwv807c_transp_6.mid,bwv807e_transp_6.mid,cs1-2all_transp_15.mid,cs1-3cou_transp_15.mid,cs3-1pre_transp_15.mid,cs3-2all_transp_15.mid,cs3-3cou_transp_15.mid,cs3-5bou_transp_15.mid,cs3-6gig_transp_15.mid,bwv807b_transp_15.mid,bwv807c_transp_15.mid,bwv807e_transp_15.mid,cs1-2all_transp_19.mid,cs1-3cou_transp_19.mid,cs3-1pre_transp_19.mid,cs3-2all_transp_19.mid,cs3-3cou_transp_19.mid,cs3-5bou_transp_19.mid,cs3-6gig_transp_19.mid,bwv807b_transp_19.mid,bwv807c_transp_19.mid,bwv807e_transp_19.mid,cs1-2all_transp_1.mid,cs1-3cou_transp_1.mid,cs3-1pre_transp_1.mid,cs3-2all_transp_1.mid,cs3-3cou_transp_1.mid,cs3-5bou_transp_1.mid,cs3-6gig_transp_1.mid,bwv807b_transp_1.mid,bwv807c_transp_1.mid,bwv807e_transp_1.mid,cs1-2all_transp_11.mid,cs1-3cou_transp_11.mid,cs3-1pre_transp_11.mid,cs3-2all_transp_11.mid,cs3-3cou_transp_11.mid,cs3-5bou_transp_11.mid,cs3-6gig_transp_11.mid,bwv807b_transp_11.mid,bwv807c_transp_11.mid,bwv807e_transp_11.mid,cs1-2all_transp_4.mid,cs1-3cou_transp_4.mid,cs3-1pre_transp_4.mid,cs3-2all_transp_4.mid,cs3-3cou_transp_4.mid,cs3-5bou_transp_4.mid,cs3-6gig_transp_4.mid,bwv807b_transp_4.mid,bwv807c_transp_4.mid,bwv807e_transp_4.mid,cs1-2all_transp_14.mid,cs1-3cou_transp_14.mid,cs3-1pre_transp_14.mid,cs3-2all_transp_14.mid,cs3-3cou_transp_14.mid,cs3-5bou_transp_14.mid,cs3-6gig_transp_14.mid,bwv807b_transp_14.mid,bwv807c_transp_14.mid,bwv807e_transp_14.mid,cs1-2all_transp_18.mid,cs1-3cou_transp_18.mid,cs3-1pre_transp_18.mid,cs3-2all_transp_18.mid,cs3-3cou_transp_18.mid,cs3-5bou_transp_18.mid,cs3-6gig_transp_18.mid,bwv807b_transp_18.mid,bwv807c_transp_18.mid,bwv807e_transp_18.mid
cs1-2all.mid,0.0,3.6424421624210765,2.7703296142690075,1.1690481051546993,2.5299640861416677,1.7752752488568992,3.892443989449804,1.5507851569761204,1.3363484822124043,2.3842268941360913,1.9999999999999998,3.6424421624210765,3.699261802403532,1.8870376481178708,2.5278640450004204,2.8768943743823394,3.699261802403532,3.5592270633410292,2.5278640450004204,2.52786404500042,1.9999999999999998,3.6424421624210765,3.699261802403532,1.9009804864072155,2.5299640861416677,2.9600799383623535,3.1221143751807965,2.0710678118654755,2.7198901107194815,2.1655250605964382,2.9600799383623535,3.6424421624210765,2.9289321881345245,1.8870376481178708,2.5278640450004204,2.8768943743823394,3.1221143751807965,3.5592270633410292,2.3842268941360913,1.9377422517014509,1.9999999999999998,3.6424421624210765,2.9289321881345245,1.9009804864072155,1.972048298272691,2.5278640450004204,3.1221143751807965,2.7888974490720218,2.5278640450004204,1.9377422517014509,2.189750324093346,3.6424421624210765,3.699261802403532,1.9009804864072155,2.5299640861416677,2.8768943743823394,3.1221143751807965,2.071067811865475,2.23606797749979,2.1655250605964387,2.23606797749979,3.6424421624210765,2.876894374382339,1.8870376481178708,1.972048298272691,2.8768943743823394,3.1221143751807965,2.9289321881345245,2.7198901107194815,2.1655250605964387,2.189750324093346,3.6424421624210765,2.876894374382339,1.9009804864072155,1.972048298272691,2.9600799383623535,2.9600799383623535,2.0710678118654755,2.5278640450004204,1.9377422517014509,2.23606797749979,2.9862094406548785,3.699261802403532,1.9009804864072155,2.5278640450004204,2.9600799383623535,3.1221143751807965,3.5592270633410292,2.7198901107194815,2.52786404500042,1.9999999999999998,2.6493147725822084,2.9289321881345245,1.9009804864072155,2.5278640450004204,2.9600799383623535,3.1221143751807965,2.071067811865475,2.7198901107194815,2.1655250605964382,2.23606797749979,3.6424421624210765,3.699261802403532,1.8870376481178708,2.5278640450004204,2.5989318568658955,3.892443989449804,2.7888974490720213,2.23606797749979,2.52786404500042
cs1-3cou.mid,3.6424421624210765,0.0,4.633632098854149,2.4851554534267386,2.7604280007204665,4.761484689511778,4.761484689511777,4.088926804855716,4.424590021439108,1.6548242895987357,4.633632098854149,2.5989318568658955,5.301575673286777,3.219418536481056,4.633632098854149,4.761484689511778,5.041594578792296,5.333390646292926,4.425821472928386,2.947962186247815,4.425821472928386,3.102374643676999,4.97052676692682,3.6424421624210765,3.8944502348129717,4.830492027864317,4.97052676692682,4.63363209885415,4.97052676692682,2.23606797749979,4.633632098854149,2.5989318568658955,4.97052676692682,4.088926804855717,4.830492027864317,4.97052676692682,4.97052676692682,5.333390646292926,4.761484689511778,3.102374643676999,4.633632098854149,2.5989318568658955,4.97052676692682,3.6424421624210765,4.424590021439108,4.97052676692682,4.97052676692682,5.301575673286777,4.97052676692682,2.598931856865896,4.425821472928386,2.8284271247461907,5.3333906462929255,3.6424421624210765,4.424590021439108,4.761484689511778,4.97052676692682,4.996495978220256,4.97052676692682,3.102374643676999,4.425821472928386,2.947962186247815,4.996495978220256,4.088926804855717,4.424590021439108,4.97052676692682,4.97052676692682,5.333390646292926,4.97052676692682,3.102374643676999,4.633632098854149,2.5989318568658955,4.761484689511778,3.6424421624210765,4.424590021439108,4.830492027864317,5.041594578792296,4.996495978220256,4.761484689511778,3.102374643676999,4.424590021439107,2.5989318568658955,5.301575673286777,4.088926804855717,4.633632098854149,4.830492027864317,4.97052676692682,5.333390646292926,4.97052676692682,2.947962186247815,4.425821472928386,3.6424421624210765,4.97052676692682,4.425821472928386,4.633632098854149,4.830492027864317,4.97052676692682,4.63363209885415,4.97052676692682,2.23606797749979,4.425821472928386,3.102374643676999,5.9588320484940756,4.088926804855717,4.4935973597916465,4.97052676692682,4.761484689511777,5.301575673286777,4.97052676692682,2.947962186247815
cs3-1pre.mid,2.7703296142690075,4.633632098854149,0.0,2.148476645427411,4.529964086141667,3.0453610171872607,5.892443989449804,1.358815939845721,1.4339811320566032,4.165525060596438,2.0,4.63363209885415,2.0,2.04987562112089,2.0,3.0453610171872607,1.930988282433269,1.7639320225002102,4.041594578792295,2.9289321881345245,2.0,4.424590021439107,1.76393202250021,2.04987562112089,4.529964086141668,1.76393202250021,5.892443989449804,2.4403065089105507,1.7639320225002102,4.369316876852981,1.76393202250021,4.63363209885415,1.8524193653371794,2.04987562112089,2.0,3.0453610171872607,5.892443989449804,1.7639320225002102,1.7639320225002102,4.165525060596438,2.0,4.63363209885415,1.972048298272691,2.04987562112089,4.529964086141668,3.0453610171872607,5.892443989449804,1.7639320225002102,3.7046999107196252,2.9289321881345245,2.0,4.63363209885415,2.0710678118654755,2.04987562112089,4.529964086141668,3.0453610171872607,5.892443989449804,1.76393202250021,3.7046999107196252,4.165525060596438,2.0,4.63363209885415,1.930988282433269,2.04987562112089,4.529964086141668,3.0453610171872607,5.892443989449804,1.76393202250021,1.7639320225002102,4.165525060596438,2.0,4.63363209885415,1.76393202250021,2.04987562112089,4.529964086141668,1.76393202250021,2.23606797749979,1.7639320225002102,3.7046999107196252,4.165525060596438,1.76393202250021,4.041594578792295,2.0710678118654755,2.04987562112089,2.0,1.76393202250021,5.892443989449804,1.7639320225002102,1.7639320225002102,2.9289321881345245,2.0,4.041594578792295,1.972048298272691,1.76393202250021,2.0,1.76393202250021,5.892443989449804,1.76393202250021,1.7639320225002102,4.369316876852981,2.0,4.424590021439107,2.7573593128807152,2.04987562112089,2.0,3.0453610171872607,5.892443989449804,1.7639320225002102,3.7046999107196252,2.9289321881345245
cs3-2all.mid,1.1690481051546993,2.4851554534267386,2.148476645427411,0.0,2.4800884650207777,2.568747912515586,3.842568368328914,1.6037713514289782,1.939434568012369,2.1156494394755487,2.598931856865896,2.5989318568658955,2.978807809255414,2.2360679774997894,2.598931856865896,3.3944487245360104,3.394448724536011,3.140653869296734,2.8768943743823394,2.8768943743823394,2.598931856865896,2.5989318568658955,2.978807809255414,2.0710678118654755,2.52786404500042,2.947962186247815,3.8425683683289136,2.280109889280518,2.8768943743823394,2.319441255732091,2.5278640450004204,2.5989318568658955,2.978807809255414,2.006572709619495,2.6377552508681257,3.100116567104066,3.8425683683289136,3.1406538692967345,2.598931856865896,2.598931856865896,2.598931856865896,2.5989318568658955,2.978807809255414,2.0710678118654755,2.598931856865896,2.9479621862478145,3.8425683683289136,2.8387730701929117,2.876894374382339,2.598931856865896,2.5278640450004204,2.7573593128807152,3.1406538692967345,2.0710678118654755,2.52786404500042,3.10265265703538,3.8425683683289136,2.511340524793517,2.777789989930628,2.5278640450004204,2.7573593128807152,2.8768943743823394,3.087996925310317,2.006572709619495,2.598931856865896,3.3944487245360104,3.8425683683289136,3.1406538692967345,2.7777899899306284,2.52786404500042,2.5278640450004204,2.5989318568658955,2.9999999999999996,2.0710678118654755,2.598931856865896,2.947962186247815,3.5,2.6377552508681252,2.876894374382339,2.598931856865896,2.8768943743823394,2.5278640450004204,3.062257748298549,1.9999999999999998,2.598931856865896,2.947962186247815,3.8425683683289136,3.140653869296734,2.8768943743823394,2.8768943743823394,2.5278640450004204,2.2360679774997894,2.978807809255414,2.2330846959321953,2.598931856865896,2.947962186247815,3.8425683683289136,2.280109889280518,2.947962186247815,2.319441255732091,2.8768943743823394,2.5989318568658955,4.130189312043047,2.006572709619495,2.598931856865896,2.9479621862478145,3.8425683683289136,2.8387730701929113,2.876894374382339,2.8768943743823394
cs3-3cou.mid,2.5299640861416677,2.7604280007204665,4.529964086141667,2.4800884650207777,0.0,2.7198901107194815,2.719890110719482,3.31041962884878,3.0959829540850645,2.189750324093346,3.4745789480042504,2.7604280007204665,5.458896274276191,2.4800884650207777,2.5299640861416677,2.8768943743823394,5.529964086141667,5.458896274276192,2.384226894136091,2.23606797749979,3.4745789480042504,2.7604280007204665,5.458896274276191,2.4800884650207777,1.8870376481178706,5.249854196861149,5.249854196861149,3.3104196288487806,5.249854196861149,1.8870376481178708,4.719714410235013,2.7604280007204665,5.458896274276191,3.31041962884878,2.7888974490720213,4.719714410235013,4.4677063378431185,5.458896274276192,4.914190980277758,2.089657577231117,3.4745789480042504,2.7604280007204665,5.458896274276191,2.6811062843455633,2.5299640861416677,2.9289321881345245,5.458896274276191,5.318861535213689,3.927638819099041,2.4800884650207773,4.719714410235013,2.7604280007204665,5.458896274276191,2.6811062843455633,2.189750324093346,2.8768943743823394,5.249854196861149,3.927638819099041,3.927638819099041,1.8870376481178706,3.4745789480042504,2.7604280007204665,4.529964086141667,2.6811062843455633,2.5299640861416677,2.9289321881345245,5.458896274276191,5.458896274276192,5.249854196861149,1.8870376481178708,4.719714410235013,2.7604280007204665,4.529964086141667,2.6811062843455633,2.5299640861416677,5.249854196861149,5.458896274276191,4.283752834906346,3.0959829540850645,2.089657577231117,3.4745789480042504,2.0415945787922958,5.458896274276191,2.6811062843455633,2.5299640861416677,5.249854196861149,5.249854196861149,5.458896274276192,5.249854196861149,2.23606797749979,3.4745789480042504,1.8870376481178706,5.458896274276191,3.927638819099041,2.5299640861416677,5.249854196861149,5.249854196861149,3.927638819099041,5.249854196861149,1.8870376481178708,3.4745789480042504,2.7604280007204665,5.458896274276191,3.31041962884878,2.5299640861416677,2.9289321881345245,2.719890110719482,5.3188615352136885,3.927638819099041,2.23606797749979
cs3-5bou.mid,1.7752752488568992,4.761484689511778,3.0453610171872607,2.568747912515586,2.7198901107194815,0.0,3.262298176715154,1.825816559894374,1.6113798851306578,3.1601966196300326,1.6148351928654963,4.761484689511778,3.9742932053217856,2.0386081258894495,1.9009804864072153,2.5278640450004204,3.9742932053217856,3.834258466259283,1.9999999999999998,2.7888974490720218,1.6148351928654963,4.424590021439107,3.9742932053217856,2.568747912515586,1.8998182734070175,3.3500359234541315,3.3500359234541315,1.9999999999999998,3.3500359234541315,2.769765731840372,3.2351113412806067,4.761484689511778,3.5590780008691745,1.414213562373095,1.972048298272691,2.819896136827996,2.847082972262543,3.8342584662592825,3.0143727068707413,2.769765731840372,1.6148351928654963,4.761484689511778,3.5590780008691745,1.414213562373095,1.6148351928654963,2.071067811865475,3.5590780008691745,3.4190432618066717,2.0278205456920233,2.769765731840372,2.819896136827996,4.761484689511778,3.9742932053217856,1.414213562373095,1.8998182734070175,2.5278640450004204,3.3500359234541315,2.0278205456920233,2.0278205456920233,2.769765731840372,1.6148351928654963,4.761484689511778,3.045361017187261,1.414213562373095,1.9009804864072155,2.5278640450004204,3.5590780008691745,3.5590780008691745,3.3500359234541315,2.769765731840372,2.819896136827996,4.761484689511778,3.045361017187261,1.414213562373095,1.9009804864072155,3.3500359234541315,3.5590780008691745,2.3839345614993284,1.9999999999999998,2.769765731840372,1.9899758790498439,4.424590021439107,3.9742932053217856,1.414213562373095,1.972048298272691,3.3500359234541315,3.3500359234541315,3.834258466259283,3.3500359234541315,2.7888974490720218,1.6148351928654963,3.8944502348129713,3.5590780008691745,2.0278205456920233,1.972048298272691,3.3500359234541315,3.3500359234541315,2.0278205456920233,3.3500359234541315,2.769765731840372,1.6148351928654963,4.761484689511778,3.9742932053217856,1.414213562373095,1.972048298272691,2.071067811865475,3.262298176715154,3.4190432618066717,2.0278205456920233,2.769765731840372
cs3-6gig.mid,3.892443989449804,4.761484689511777,5.892443989449804,3.842568368328914,2.719890110719482,3.262298176715154,0.0,4.672899532156916,4.458462857393201,3.160196619630032,4.837058851312387,4.761484689511777,6.8213761775843285,3.8425683683289136,3.892443989449804,2.8470829722625424,6.892443989449804,6.8213761775843285,2.1877440787301783,3.4521374805392533,4.837058851312387,4.761484689511777,6.8213761775843285,3.8425683683289136,1.414213562373095,6.612334100169286,6.612334100169286,4.672899532156916,6.612334100169286,2.978807809255414,6.08219431354315,4.761484689511777,6.8213761775843285,4.672899532156917,3.892443989449804,6.08219431354315,5.830186241151254,6.8213761775843285,6.276670883585895,3.4521374805392533,4.837058851312387,4.761484689511777,6.8213761775843285,4.0435861876537,3.892443989449804,3.262298176715154,6.8213761775843285,6.681341438521825,5.290118722407176,3.842568368328914,6.08219431354315,4.761484689511777,6.8213761775843285,4.0435861876537,1.414213562373095,3.262298176715154,6.612334100169286,5.290118722407177,5.290118722407176,2.769765731840372,4.837058851312387,4.761484689511777,5.892443989449804,4.0435861876537,3.892443989449804,3.262298176715154,6.8213761775843285,6.821376177584328,6.612334100169286,2.769765731840372,6.08219431354315,4.761484689511777,5.892443989449804,4.0435861876537,3.892443989449804,6.612334100169286,6.8213761775843285,5.646232738214483,4.458462857393201,3.4521374805392533,4.837058851312387,4.761484689511777,6.8213761775843285,4.0435861876537,3.892443989449804,6.612334100169286,6.612334100169286,6.8213761775843285,6.612334100169286,3.4521374805392533,4.837058851312387,4.424590021439107,6.8213761775843285,5.290118722407176,3.892443989449804,6.612334100169286,6.612334100169286,5.290118722407177,6.612334100169286,2.978807809255414,4.837058851312387,4.761484689511777,6.8213761775843285,4.672899532156917,3.892443989449804,3.262298176715154,1.9394345680123688,6.681341438521825,5.290118722407176,3.4521374805392533
bwv807b.mid,1.5507851569761204,4.088926804855716,1.358815939845721,1.6037713514289782,3.31041962884878,1.825816559894374,4.672899532156916,0.0,0.960827965449281,2.9459806033035516,2.006572709619495,4.088926804855717,2.280018611815188,2.2360679774997894,1.9309882824332687,2.6686742346769208,2.6686742346769208,2.23606797749979,2.8220501214994083,2.7888974490720218,2.23606797749979,4.088926804855717,2.1484766454274116,2.2360679774997894,3.3104196288487806,2.23606797749979,4.672899532156917,2.23606797749979,2.4999999999999996,3.149772419560094,2.23606797749979,4.088926804855717,2.1604835503135633,2.2360679774997894,1.9309882824332687,2.5,4.672899532156917,2.23606797749979,2.2360679774997894,2.9459806033035516,2.23606797749979,4.088926804855717,2.280018611815188,2.2360679774997894,3.3104196288487806,2.5,4.672899532156917,2.23606797749979,2.5,2.384226894136091,2.23606797749979,4.088926804855717,2.280018611815188,2.2360679774997894,3.3104196288487806,2.556737682388313,4.672899532156917,2.23606797749979,2.5,2.9459806033035516,2.23606797749979,4.088926804855717,2.280018611815188,2.2360679774997894,3.3104196288487806,2.556737682388313,4.672899532156917,2.23606797749979,2.4999999999999996,2.9459806033035516,2.23606797749979,4.088926804855717,2.280018611815188,2.2360679774997894,3.3104196288487806,2.1715728752538093,2.6686742346769208,2.23606797749979,2.5,2.9459806033035516,2.23606797749979,3.7953833275569746,2.280018611815188,2.2360679774997894,1.9309882824332687,2.23606797749979,4.672899532156917,2.23606797749979,2.4999999999999996,2.7888974490720218,2.006572709619495,3.4584886594843045,2.280018611815188,2.23606797749979,1.9309882824332687,2.23606797749979,4.672899532156917,2.23606797749979,2.4999999999999996,3.149772419560094,2.1715728752538093,4.088926804855717,2.8284271247461903,2.2360679774997894,1.9309882824332687,2.5,4.672899532156917,2.23606797749979,2.5,2.3842268941360913
bwv807c.mid,1.3363484822124043,4.424590021439108,1.4339811320566032,1.939434568012369,3.0959829540850645,1.6113798851306578,4.458462857393201,0.960827965449281,0.0,2.7697657318403714,1.6148351928654963,4.424590021439107,2.5278640450004204,1.7639320225002102,1.9009804864072153,2.52786404500042,2.5278640450004204,2.3629133201911277,2.6076134467356926,2.719890110719482,1.6148351928654963,4.088926804855717,2.3629133201911277,1.7639320225002102,3.0959829540850645,2.153871242776085,4.458462857393201,1.9999999999999998,2.153871242776085,2.9353357447963777,1.6237314561499492,4.424590021439107,2.5278640450004204,1.7639320225002102,1.9009804864072153,2.52786404500042,4.458462857393201,2.3629133201911277,1.8870376481178708,2.7315439285398355,1.6148351928654963,4.424590021439107,2.5278640450004204,1.7639320225002102,3.0959829540850645,2.0,4.458462857393201,2.222878581128625,2.2707187786630225,2.7198901107194815,1.623731456149949,4.424590021439107,2.5278640450004204,1.414213562373095,3.0959829540850645,2.52786404500042,4.458462857393201,2.0,2.2707187786630225,2.7315439285398355,1.6148351928654963,4.424590021439107,2.5278640450004204,1.7639320225002102,3.0959829540850645,2.52786404500042,4.458462857393201,2.3629133201911277,2.153871242776085,2.7315439285398355,1.623731456149949,4.424590021439107,2.5278640450004204,1.414213562373095,3.0959829540850645,2.153871242776085,2.598931856865896,1.9009804864072155,2.2707187786630225,2.7315439285398355,1.6148351928654963,3.4392693117496687,2.5278640450004204,1.369483297964199,1.9009804864072153,2.153871242776085,4.458462857393201,2.3629133201911277,2.153871242776085,2.719890110719482,1.6148351928654963,3.102374643676999,2.5278640450004204,1.369483297964199,1.9009804864072153,2.153871242776085,4.458462857393201,2.0,2.153871242776085,2.9353357447963777,1.6148351928654963,4.088926804855717,2.9479621862478145,1.7639320225002102,1.9009804864072153,2.006572709619495,4.458462857393201,2.222878581128625,2.2707187786630225,2.719890110719482
bwv807e.mid,2.3842268941360913,1.6548242895987357,4.165525060596438,2.1156494394755487,2.189750324093346,3.1601966196300326,3.160196619630032,2.9459806033035516,2.7697657318403714,0.0,3.1101399224590214,1.9377422517014509,5.094457248730963,2.7888974490720218,3.675444679663241,4.614835192865495,5.165525060596438,5.094457248730963,2.9999999999999996,2.7888974490720213,3.1101399224590214,2.719890110719482,5.094457248730963,2.9289321881345245,2.9289321881345245,4.88541517131592,4.88541517131592,3.5968757625671515,4.88541517131592,1.9876178728223408,4.355275384689785,2.719890110719482,5.094457248730963,2.945980603303551,3.9172374697017807,4.614835192865495,4.1032673122978895,5.094457248730963,4.54975195473253,2.062257748298549,3.1101399224590214,2.719890110719482,5.094457248730963,2.769765731840372,2.9788078092554144,3.369238697045075,5.094457248730963,4.9544225096684595,3.563199793553812,2.1156494394755483,4.355275384689785,2.719890110719482,5.094457248730963,2.769765731840372,2.9788078092554144,3.5968757625671515,4.88541517131592,3.5968757625671515,3.563199793553812,1.9876178728223408,3.1101399224590214,2.719890110719482,4.165525060596439,2.719890110719482,2.9788078092554144,4.169048105154699,5.094457248730963,5.094457248730962,4.88541517131592,1.9876178728223408,4.355275384689785,2.719890110719482,4.165525060596439,2.769765731840372,2.9788078092554144,4.88541517131592,5.094457248730963,3.9193138093611175,3.1601966196300326,2.1533954264142734,3.1101399224590214,2.719890110719482,5.094457248730963,2.7888974490720218,3.675444679663241,4.88541517131592,4.88541517131592,5.094457248730963,4.88541517131592,2.7888974490720213,3.1101399224590214,2.9289321881345245,5.094457248730963,3.563199793553812,3.9172374697017807,4.88541517131592,4.88541517131592,3.5968757625671515,4.88541517131592,1.9876178728223408,3.1101399224590214,2.719890110719482,5.094457248730963,2.945980603303551,3.675444679663241,3.369238697045075,3.1601966196300326,4.9544225096684595,3.563199793553812,2.7888974490720213
